ts,temp_dht,pm1,pm25,pm10
2026-03-27 21:50:00,2.6363636363636362,13.727272727272727,18.0,19.272727272727273
2026-03-27 22:40:00,29.0,12.6,17.6,18.0
2026-03-27 23:00:00,29.0,10.0,20.4,21.9
2026-03-27 23:10:00,29.0,11.5,21.8,22.6
2026-03-27 23:30:00,29.0,14.0,23.5,24.6
2026-03-27 23:40:00,29.0,10.0,15.8,16.3
2026-03-27 23:50:00,29.0,13.5,23.4,26.2
2026-03-28 00:00:00,29.0,14.4,24.2,26.0
2026-03-28 00:10:00,29.0,12.0,24.666666666666668,24.666666666666668
2026-03-28 00:20:00,29.0,16.0,25.4,26.2
2026-03-28 00:30:00,29.0,16.3,27.3,27.6
2026-03-28 00:50:00,29.0,16.4,26.0,28.0
2026-03-28 01:00:00,29.0,16.6,24.9,29.0
2026-03-28 01:20:00,29.0,14.3,24.8,27.2
2026-03-28 01:30:00,29.0,13.6,23.8,24.8
2026-03-28 01:40:00,29.0,5.3,8.8,8.8
2026-03-28 01:50:00,29.0,17.2,27.0,30.0
2026-03-28 02:00:00,29.0,11.2,21.0,21.0
2026-03-28 02:10:00,29.0,6.1,9.9,10.1
2026-03-28 02:20:00,29.0,15.5,24.4,25.3
2026-03-28 02:40:00,29.0,17.1,26.3,26.5
2026-03-28 02:50:00,29.0,16.1,26.9,26.9
2026-03-28 03:40:00,29.0,15.7,24.8,26.8
2026-03-28 03:50:00,29.0,16.9,26.3,27.2
2026-03-28 04:10:00,29.0,16.6,27.0,28.2
2026-03-28 04:30:00,29.0,16.9,28.6,29.4
2026-03-28 04:40:00,28.6,15.5,26.5,27.1
2026-03-28 05:20:00,28.0,15.3,24.7,24.8
2026-03-28 05:40:00,28.0,9.8,15.8,16.2
2026-03-28 05:50:00,28.0,17.1,27.0,27.8
2026-03-28 06:00:00,28.0,14.4,26.0,26.4
2026-03-28 06:30:00,29.0,5.0,7.6,8.0
2026-03-28 06:40:00,29.0,17.4,26.1,28.7
2026-03-28 06:50:00,29.0,17.11111111111111,25.22222222222222,26.555555555555557
2026-03-28 07:00:00,29.0,17.4,29.0,29.0
2026-03-28 07:30:00,30.0,13.7,24.6,26.2
2026-03-28 07:50:00,30.4,18.5,29.4,30.2
2026-03-28 08:00:00,31.0,18.1,26.8,27.4
2026-03-28 08:10:00,30.3,15.4,25.2,25.8
2026-03-28 08:40:00,30.7,17.3,26.9,28.1
2026-03-28 08:50:00,31.2,16.0,27.2,27.8
2026-03-28 09:00:00,32.0,16.2,28.8,29.0
2026-03-28 09:10:00,32.8,18.2,28.1,28.3
2026-03-28 09:20:00,33.6,16.3,27.2,28.4
2026-03-28 09:40:00,33.5,12.8,23.7,24.0
2026-03-28 09:50:00,33.9,16.2,22.6,23.9
2026-03-28 10:00:00,33.2,12.2,20.3,23.0
2026-03-28 10:10:00,32.77777777777778,13.11111111111111,22.0,23.11111111111111
2026-03-28 10:20:00,32.2,16.9,27.7,29.2
2026-03-28 10:30:00,32.6,10.9,17.8,18.8
2026-03-28 10:40:00,34.5,14.1,24.0,24.2
2026-03-28 10:50:00,34.9,15.1,25.0,26.2
2026-03-28 11:00:00,35.1,5.5,9.5,9.9
2026-03-28 11:10:00,35.8,12.9,23.2,23.9
2026-03-28 11:20:00,35.3,15.3,26.2,27.3
2026-03-28 11:30:00,35.8,16.2,26.3,27.5
2026-03-28 11:40:00,34.8,16.1,26.8,28.6
2026-03-28 11:50:00,34.5,14.5,24.4,25.5
2026-03-28 12:00:00,34.6,11.5,22.3,22.9
2026-03-28 12:10:00,34.4,11.7,22.9,23.9
2026-03-28 12:20:00,35.0,10.4,19.5,20.9
2026-03-28 12:30:00,34.5,13.0,22.2,24.4
2026-03-28 12:40:00,34.9,12.2,19.2,20.7
2026-03-28 12:50:00,35.4,12.7,20.4,21.2
2026-03-28 13:00:00,36.0,15.5,27.1,28.2
2026-03-28 13:10:00,35.1,13.1,24.4,26.2
2026-03-28 13:20:00,36.0,10.9,18.6,18.8
2026-03-28 13:30:00,35.55555555555556,5.777777777777778,9.666666666666666,9.777777777777779
2026-03-28 13:40:00,35.9,15.2,25.5,25.5
2026-03-28 13:50:00,35.1,17.0,27.1,28.1
2026-03-28 14:00:00,35.0,14.6,26.1,26.8
2026-03-28 14:10:00,35.0,13.0,23.8,24.9
2026-03-28 14:20:00,35.0,14.4,25.0,25.5
2026-03-28 14:30:00,35.0,14.7,23.7,25.0
2026-03-28 14:40:00,35.0,5.7,9.3,9.8
2026-03-28 14:50:00,34.6,13.4,22.7,23.1
2026-03-28 15:00:00,34.0,14.7,24.8,26.2
