ts,aqi
2026-03-27 10:02:13,77
2026-03-27 10:12:12,77
2026-03-27 10:22:13,78
2026-03-27 10:32:13,79
2026-03-27 10:42:12,79
2026-03-27 10:52:13,79
2026-03-27 11:02:13,79
2026-03-27 11:12:13,79
2026-03-27 11:22:13,82
2026-03-27 11:32:12,82
2026-03-27 11:42:12,82
2026-03-27 11:52:24,82
2026-03-27 12:02:25,82
2026-03-27 12:12:25,82
2026-03-27 12:22:24,83
2026-03-27 12:32:25,83
2026-03-27 12:42:26,83
2026-03-27 12:52:25,83
2026-03-27 13:02:25,83
2026-03-27 13:12:25,80
2026-03-27 13:22:25,80
2026-03-27 13:32:24,80
2026-03-27 13:42:25,90
2026-03-27 13:52:26,90
2026-03-27 14:02:25,90
2026-03-27 14:12:25,90
2026-03-27 14:22:25,85
2026-03-27 14:32:25,85
2026-03-27 14:42:25,85
2026-03-27 14:52:24,85
2026-03-27 15:02:25,85
2026-03-27 15:12:26,85
2026-03-27 15:22:26,82
2026-03-27 15:32:25,86
2026-03-27 15:42:25,86
2026-03-27 15:52:24,86
2026-03-27 16:02:25,86
2026-03-27 16:12:25,86
2026-03-27 16:22:24,86
2026-03-27 16:32:25,86
2026-03-27 16:42:26,97
2026-03-27 16:52:26,97
2026-03-27 17:02:25,97
2026-03-27 17:12:25,105
2026-03-27 17:22:26,85
2026-03-27 17:32:26,105
2026-03-27 17:42:26,105
2026-03-27 17:52:26,105
2026-03-27 18:02:25,105
2026-03-27 18:12:26,105
2026-03-27 18:22:25,105
2026-03-27 18:32:25,96
2026-03-27 18:42:25,96
2026-03-27 18:52:26,96
2026-03-27 19:02:26,96
2026-03-27 19:12:25,96
2026-03-27 19:22:25,96
2026-03-27 19:32:00,96
2026-03-27 19:42:00,96
2026-03-27 19:52:00,95
2026-03-27 20:02:00,96
2026-03-27 20:12:00,96
2026-03-27 20:22:00,96
2026-03-27 20:32:00,96
2026-03-27 20:42:00,95
2026-03-27 20:52:00,95
2026-03-27 21:02:00,95
2026-03-27 21:12:00,95
2026-03-27 21:22:00,94
